 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
4.396568, 0.1813375, 0.073342, 0.3560201, 0.1480313, 0.09390983, 0.4330665, 0.1969261, 0.05199958, 0.2506215, 0.04129028, 0.004281871, 0.01593119, 0.004312061, 0.005472918, 0.01608923
4.446529, 0.1712129, 0.07427029, 0.3501441, 0.1395718, 0.0883653, 0.4267159, 0.1928157, 0.04944323, 0.249923, 0.03881652, 0.004097051, 0.01527495, 0.004125211, 0.01355372, 0.01541048
4.49649, 0.1639757, 0.07463529, 0.3460154, 0.1315957, 0.08314812, 0.4199046, 0.193561, 0.04701255, 0.2390255, 0.03649096, 0.003920209, 0.01464575, 0.003946458, 0.01684459, 0.01755855
4.546451, 0.1580133, 0.07771939, 0.3361378, 0.1240754, 0.07823897, 0.4042928, 0.1983916, 0.04470137, 0.2329952, 0.03430473, 0.003750999, 0.01404246, 0.008311879, 0.0364837, 0.01681781
4.596412, 0.1508226, 0.07412571, 0.3213037, 0.1169849, 0.07361966, 0.4043632, 0.1919372, 0.0425038, 0.2255727, 0.03224949, 0.003589093, 0.01346403, 0.007951709, 0.03419757, 0.02049105
4.646373, 0.1424018, 0.07063939, 0.3087216, 0.1102996, 0.06927308, 0.3944495, 0.1958507, 0.04041428, 0.2260232, 0.03031737, 0.003434176, 0.01290942, 0.009303448, 0.03205469, 0.0196266
4.696334, 0.1344511, 0.07377139, 0.3021764, 0.1039963, 0.06518313, 0.3810599, 0.1869195, 0.03842747, 0.2175436, 0.02850101, 0.003285946, 0.01237765, 0.008900312, 0.03004608, 0.01879862
4.746295, 0.1298352, 0.07176004, 0.2875967, 0.09805325, 0.06133465, 0.3669921, 0.181367, 0.03653834, 0.2088838, 0.02679348, 0.003144113, 0.01186779, 0.008514645, 0.02816334, 0.01800556
4.796256, 0.1225861, 0.07110702, 0.2737205, 0.09244981, 0.05771339, 0.3640967, 0.1730963, 0.03474208, 0.2029868, 0.02518824, 0.003008403, 0.01137893, 0.008145689, 0.02639857, 0.01724597
4.846217, 0.1157418, 0.06763751, 0.2605138, 0.0871666, 0.05430593, 0.3494912, 0.1652028, 0.03303412, 0.1980702, 0.02367917, 0.00287855, 0.01091021, 0.008081757, 0.02474439, 0.01651842
4.896178, 0.1092796, 0.06433728, 0.2479442, 0.0821853, 0.05109965, 0.3417141, 0.1576692, 0.03141014, 0.2030035, 0.02226052, 0.002754302, 0.0104608, 0.007731559, 0.02319386, 0.01582156
4.946139, 0.1031782, 0.06119808, 0.2359812, 0.07748867, 0.04808268, 0.3264413, 0.1504792, 0.02986598, 0.1941518, 0.02092686, 0.002635417, 0.0100299, 0.007396536, 0.02174049, 0.01888042
4.9961, 0.09741749, 0.06039251, 0.2245953, 0.07306044, 0.04524383, 0.3238479, 0.1489016, 0.03183426, 0.1856862, 0.0196731, 0.002521664, 0.009616747, 0.00707603, 0.02037819, 0.01969014
5.046061, 0.09590512, 0.06031738, 0.2212527, 0.06888527, 0.04257259, 0.3093737, 0.1421114, 0.03026926, 0.1862237, 0.01849446, 0.00241282, 0.009220614, 0.006769412, 0.01910125, 0.02018674
5.096022, 0.0922569, 0.05737432, 0.2138637, 0.06494869, 0.04005906, 0.3039384, 0.1439606, 0.02878119, 0.1847817, 0.01738643, 0.002308675, 0.008840798, 0.00647608, 0.01790433, 0.01933512
5.145983, 0.08710593, 0.05457486, 0.2083224, 0.06123708, 0.03769393, 0.3059919, 0.142348, 0.02736628, 0.1818435, 0.01634478, 0.002209025, 0.008476629, 0.006195459, 0.01678242, 0.0199558
5.195944, 0.08567442, 0.05347855, 0.207817, 0.05773757, 0.03546844, 0.3045135, 0.1415212, 0.02602093, 0.1822589, 0.01536554, 0.002113676, 0.008127459, 0.007100829, 0.0157308, 0.01989666
5.245905, 0.08385751, 0.05160978, 0.20488, 0.05443805, 0.03337435, 0.3008386, 0.1350676, 0.02474171, 0.1743118, 0.01444497, 0.002022442, 0.007792673, 0.006793136, 0.01474508, 0.01905728
5.295866, 0.07917551, 0.04983452, 0.1949948, 0.05132709, 0.03140389, 0.2873928, 0.1419577, 0.02352539, 0.1766074, 0.01357955, 0.001935147, 0.007471677, 0.007042947, 0.01382113, 0.02134831
5.345827, 0.07475492, 0.04740294, 0.1855865, 0.04839391, 0.02954977, 0.274548, 0.1423818, 0.02236886, 0.1689067, 0.01276598, 0.00185162, 0.007163904, 0.006737762, 0.01295507, 0.0204477
5.395788, 0.07058114, 0.04509002, 0.1795184, 0.04562835, 0.02780513, 0.2622772, 0.1455755, 0.02876165, 0.1775749, 0.01200115, 0.001771698, 0.006868809, 0.006445802, 0.01214328, 0.01958508
5.445749, 0.0666404, 0.04288994, 0.1708568, 0.04302083, 0.02616348, 0.2572871, 0.1402694, 0.02914442, 0.1698321, 0.01128214, 0.001695225, 0.006585869, 0.006166493, 0.01138236, 0.01979162
5.49571, 0.06291968, 0.04845369, 0.1667091, 0.04056233, 0.02461876, 0.2509425, 0.1360871, 0.03458389, 0.1731367, 0.03792195, 0.001622054, 0.006314584, 0.005899287, 0.01066912, 0.01895668
5.545671, 0.0594067, 0.05642856, 0.1725392, 0.03824432, 0.02316525, 0.243355, 0.1323565, 0.03326359, 0.1722793, 0.05063165, 0.00155204, 0.006054474, 0.00564366, 0.01000057, 0.01874309
5.595632, 0.05608985, 0.05367525, 0.1642144, 0.03605878, 0.02179755, 0.2478515, 0.1343401, 0.03667869, 0.1647673, 0.04759823, 0.001485049, 0.005805077, 0.005399109, 0.009373919, 0.01917254
5.645593, 0.0529582, 0.05543167, 0.1562912, 0.03399813, 0.0205106, 0.245931, 0.1282139, 0.03487553, 0.1647836, 0.04474655, 0.001420949, 0.005565955, 0.005165156, 0.008786532, 0.01836371
5.695554, 0.05000139, 0.05404319, 0.1487503, 0.03205524, 0.01929963, 0.2349393, 0.1223671, 0.03316101, 0.1575986, 0.04206572, 0.001359616, 0.005336682, 0.00494134, 0.01665914, 0.01758901
5.745515, 0.04720967, 0.06226128, 0.1415733, 0.03022339, 0.01816016, 0.2244388, 0.1373945, 0.03153079, 0.1507268, 0.0395455, 0.001300931, 0.005116854, 0.004727222, 0.01921057, 0.01684698
5.795476, 0.04457382, 0.05922338, 0.1347425, 0.02849622, 0.01708796, 0.2144077, 0.1399989, 0.0299807, 0.1526906, 0.04128842, 0.001244778, 0.01142595, 0.007192807, 0.01859594, 0.01732277
5.845437, 0.04208514, 0.0563337, 0.1282413, 0.02686775, 0.01607907, 0.2048249, 0.1362078, 0.02850682, 0.1460328, 0.04362163, 0.001191049, 0.01095529, 0.006881129, 0.01743068, 0.01954587
5.895398, 0.03973541, 0.05358501, 0.1220538, 0.02533234, 0.01512975, 0.1992591, 0.1299964, 0.0271054, 0.1430813, 0.0410082, 0.00113964, 0.01050402, 0.006582956, 0.01633844, 0.01872129
5.945359, 0.03751687, 0.05097045, 0.1161648, 0.02388467, 0.01423647, 0.1903533, 0.1240683, 0.02577287, 0.1368425, 0.03855133, 0.001090449, 0.01007134, 0.006297704, 0.01531465, 0.0179315
5.99532, 0.03542219, 0.04848345, 0.11056, 0.02251974, 0.01339594, 0.1917889, 0.1184106, 0.02450585, 0.1308757, 0.03624167, 0.001043382, 0.009656482, 0.006024812, 0.02181173, 0.01717503
6.045281, 0.03344447, 0.0461178, 0.1052256, 0.02123281, 0.01260503, 0.18872, 0.1130108, 0.02330112, 0.1251691, 0.03407037, 0.0009983459, 0.009258713, 0.005763746, 0.02044497, 0.01645047
6.095242, 0.03157718, 0.04386758, 0.1001486, 0.02001942, 0.01186081, 0.1836203, 0.1133059, 0.02215562, 0.1257783, 0.03202917, 0.0009552539, 0.008877328, 0.005513992, 0.01916385, 0.01821286
6.145203, 0.02981413, 0.04172715, 0.09531651, 0.01887537, 0.01116054, 0.1754135, 0.1145415, 0.02106643, 0.1250192, 0.03011025, 0.0009140219, 0.008511653, 0.00527506, 0.01972074, 0.01744452
