Time,Centre position X,Centre position Y,A active,S active
323.886,324,126,0,0
323.986,329,129,0,0
324.086,315,127,0,0
324.186,309,131,0,0
324.286,306,135,0,0
324.386,302,141,0,0
324.486,288,134,0,0
324.586,279,135,0,0
324.686,262,161,0,0
325.220,220,181,0,0
325.586,156,240,0,0
325.686,154,254,0,0
325.853,143,260,0,0
325.953,133,268,0,0
326.053,129,262,0,0
326.153,133,254,0,0
326.253,129,248,0,0
326.353,131,245,0,0
326.453,131,241,0,0
326.553,131,247,0,0
326.653,130,245,0,0
326.753,128,248,0,0
327.386,100,226,0,0
327.486,100,228,0,0
327.586,104,228,0,0
327.686,103,221,0,0
327.787,97,211,0,0
327.920,91,202,0,0
328.020,94,196,0,0
328.120,97,201,0,0
328.220,96,217,0,0
328.320,95,207,0,0
328.420,101,192,0,0
328.520,105,206,0,0
328.620,107,211,0,0
328.720,107,215,0,0
328.820,108,218,0,0
328.920,110,209,0,0
329.020,113,202,0,0
329.120,115,203,0,0
329.486,122,188,0,0
329.586,121,195,0,0
330.186,124,192,0,0
330.286,125,195,0,0
330.386,125,200,0,0
330.486,124,191,0,0
330.586,133,194,0,0
331.086,125,216,0,0
331.186,119,213,0,0
331.286,119,224,0,0
331.386,120,238,0,0
331.487,125,243,0,0
331.620,129,255,0,0
331.720,135,258,0,0
331.820,135,257,0,0
331.920,137,258,0,0
332.020,147,268,0,0
332.120,152,275,0,0
332.220,149,283,0,0
332.320,137,280,0,0
332.486,136,257,0,0
332.586,126,263,0,0
332.686,122,270,0,0
332.786,121,273,0,0
332.886,113,277,0,0
332.986,113,266,0,0
333.086,107,268,0,0
334.220,86,224,0,0
334.353,90,219,0,0
334.453,87,220,0,0
334.553,85,216,0,0
334.653,89,209,0,0
334.753,90,214,0,0
334.853,89,217,0,0
335.020,84,237,0,0
335.520,82,250,0,0
335.620,89,234,0,0
335.720,90,214,0,0
335.853,87,188,0,0
336.020,99,216,0,0
336.120,90,206,0,0
336.220,83,243,0,0
336.320,89,240,0,0
