 , C0, C1, C2, C3, C4, C5, C6,,segment,Time (s),Frame,A (time),A (frame)
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,0,0,0,0.99922,20
8.293526,0.1842417,0.02334136,0.01967176,0.2372787,0,0.004449329,0.007784569,,,,,,
8.343487,0.2028676,0.02232165,0.02462145,0.243786,0,0.004184366,0.007053786,,,,,,
8.393448,0.1963544,0.02134648,0.02351891,0.2526051,0,0.003935181,0.006391605,,,,,,
8.443409,0.1876627,0.02041392,0.02246575,0.2519401,0,0.003700836,0.005791588,,,,,,
8.49337,0.1874238,0.0195221,0.02145975,0.2510195,0,0.003480447,0.005247897,,,,,,
8.543331,0.1831136,0.01866924,0.0204988,0.2469418,0,0.003273181,0.01142626,,,,,,
8.593292,0.1805584,0.01785364,0.01958087,0.2422747,0,0.003078259,0.01153646,,,,,,
8.643253,0.1804523,0.01707367,0.01870405,0.2398012,0,0.002894945,0.0123705,,,,,,
8.693214,0.1769683,0.02192851,0.0178665,0.2333621,0,0.002722547,0.01120921,,,,,,
8.743175,0.1691348,0.0232827,0.02027663,0.2386467,0,0.002560416,0.01015693,,,,,,
8.793136,0.1726004,0.02329444,0.01936865,0.2318648,0,0.00240794,0.009203441,,,,,,
8.843097,0.166848,0.02227678,0.01850134,0.2472048,0,0.002264544,0.00833946,,,,,,
8.893058,0.1642775,0.02130358,0.02369317,0.2576973,0,0.002129687,0.007556586,,,,,,
8.943019,0.1838164,0.02143423,0.02263221,0.2659925,0,0.002002862,0.006847205,,,,,,
8.99298,0.1997494,0.02248291,0.02161875,0.2845571,0,0.001883589,0.006204417,,,,,,
9.042941,0.2247912,0.0215007,0.02065068,0.3052823,0,0.001771418,0.0164654,,,,,,
9.092902,0.2537265,0.02606644,0.01972595,0.3228759,0,0.001665928,0.01491969,,,,,,
9.142863,0.2579004,0.02492768,0.01884264,0.3518866,0,0.00156672,0.01351909,,,,,,
9.192824,0.2556272,0.02383866,0.01799888,0.3624192,0,0.00147342,0.01224998,,,,,,
9.242785,0.2443117,0.02279723,0.0171929,0.3480187,0,0.001385676,0.0111,,,,,,
9.292746,0.2334972,0.02180129,0.01642301,0.351088,0,0.001303157,0.01005798,,,,,,
9.342707,0.2327012,0.02084886,0.0156876,0.3564321,0,0.001225552,0.009113776,,,,,,
9.392668,0.2236059,0.01993804,0.01923098,0.37639,0,0.001152569,0.008258211,,,,,,
9.442629,0.2150926,0.01906701,0.02297587,0.3744081,0,0.001083932,0.007482965,,,,,,
9.49259,0.2163371,0.01823403,0.02194703,0.4019338,0,0.001019383,0.006780494,,,,,,
9.542551,0.2134752,0.01743744,0.02096425,0.4148014,0,0.000958677,0.006143969,,,,,,
9.592512,0.212597,0.01667565,0.02002549,0.4338332,0,0.000901587,0.005567199,,,,,,
9.642473,0.2072886,0.01594715,0.01912876,0.4391375,0,0.000847896,0.005044573,,,,,,
9.692434,0.1981129,0.01525047,0.01827219,0.4251257,0,0.000797403,0.01340966,,,,,,
9.742395,0.1893433,0.01458422,0.01745397,0.4175968,0,0.000749916,0.01215082,,,,,,
9.792356,0.1991114,0.01394708,0.01667239,0.4262347,0,0.000705258,0.01101015,,,,,,
9.842317,0.1984532,0.01333778,0.01944127,0.4144983,0,0.000663259,0.009976562,,,,,,
9.892278,0.200737,0.01275509,0.02005989,0.3960396,0,0.00606401,0.009040004,,,,,,
9.942239,0.1918513,0.01219786,0.01916162,0.389105,0,0.00570289,0.008191366,,,,,,
9.9922,0.1896129,0.01166498,0.02108723,0.376271,0,0.005363276,0.007422394,,,,,,
10.042161,0.1873443,0.01115537,0.0246101,0.3595147,0,0.005043886,0.00672561,,,,,,
10.092122,0.1790514,0.01066803,0.02350808,0.3528146,0,0.004743516,0.006094238,,,,,,
10.142083,0.1788824,0.02390772,0.0224554,0.3525865,0,0.004461033,0.005522136,,,,,,
10.192044,0.1773394,0.02286326,0.02144986,0.3388884,0,0.004195373,0.007164781,,,,,,
10.242005,0.1786629,0.02186444,0.02048935,0.3375215,0,0.003945533,0.00950433,,,,,,
10.291966,0.1798972,0.02090925,0.01957185,0.3383965,0,0.003710572,0.01127271,,,,,,
10.341927,0.1719339,0.01999579,0.01869543,0.330365,0,0.003689551,0.01021447,,,,,,
10.391888,0.175528,0.01912224,0.01785826,0.3375712,0,0.006531224,0.01667148,,,,,,
10.441849,0.1677581,0.01828685,0.01705858,0.323547,0,0.01479337,0.02021901,,,,,,
10.49181,0.1674113,0.01748795,0.01629471,0.3184693,0,0.01391241,0.02180013,,,,,,
10.541771,0.1618041,0.01672396,0.01556504,0.304287,0,0.0130839,0.01975363,,,,,,
10.591732,0.1546418,0.01599334,0.01486805,0.3025142,0,0.01230474,0.02104339,,,,,,
10.641693,0.1604745,0.01529464,0.01420227,0.3084574,0,0.01157198,0.01906792,,,,,,
10.691654,0.1600458,0.01462647,0.0135663,0.3197566,0,0.01088285,0.0172779,,,,,,
10.741615,0.1597777,0.01398748,0.01295881,0.3064649,0,0.01023476,0.01565592,,,,,,
10.791576,0.1569147,0.01337641,0.01237852,0.3041073,0,0.00962527,0.01418621,,,,,,
10.841537,0.1569298,0.01279204,0.01571908,0.302867,0,0.009052073,0.01285447,,,,,,
10.891498,0.1516434,0.01671472,0.01680525,0.2926373,0,0.00851301,0.01164774,,,,,,
10.941459,0.1545137,0.01598451,0.01605272,0.2868356,0,0.008006048,0.0117588,,,,,,
10.99142,0.1524184,0.01879771,0.01811836,0.286969,0,0.007529278,0.01439641,,,,,,
11.041381,0.1508584,0.01797649,0.01730703,0.2859585,0,0.0070809,0.01342279,,,,,,
11.091342,0.1474587,0.01719116,0.01653203,0.285746,0,0.006659223,0.01216271,,,,,,
11.141303,0.1434311,0.01644013,0.01579173,0.2790708,0,0.0113669,0.01260347,,,,,,
11.191264,0.1384388,0.01572191,0.01508459,0.2840961,0,0.01068999,0.01415028,,,,,,
11.241225,0.1434583,0.01503507,0.01440911,0.2752871,0,0.01005338,0.01282191,,,,,,
11.291186,0.1434216,0.02361284,0.01376388,0.2743915,0,0.009454692,0.01427505,,,,,,
11.341147,0.1444281,0.02258127,0.01314754,0.2660448,0,0.008891652,0.01704795,,,,,,
11.391108,0.1439884,0.02159476,0.01255881,0.2709538,0,0.008362143,0.01796733,,,,,,
11.441069,0.1376147,0.02065135,0.01199643,0.2764401,0,0.007864166,0.01628063,,,,,,
11.49103,0.1332317,0.01974916,0.01145924,0.2666642,0,0.01355464,0.01475227,,,,,,
11.540991,0.1345337,0.01888638,0.0109461,0.2758195,0,0.01274745,0.01429365,,,,,,
11.590952,0.1362541,0.01806129,0.01505695,0.2699703,0,0.01198832,0.01295182,,,,,,
11.640913,0.1302228,0.01727225,0.01438271,0.2617816,0,0.0112744,0.01665213,,,,,,
11.690874,0.1285574,0.01651768,0.01373867,0.2793469,0,0.01060299,0.01642713,,,,,,
11.740835,0.1333793,0.01579608,0.01312346,0.2817818,0,0.009971571,0.01488502,,,,,,
11.790796,0.1329508,0.015106,0.01673666,0.2907999,0,0.009377751,0.01348768,,,,,,
11.840757,0.1318835,0.01444606,0.0159872,0.2949107,0,0.008819294,0.01385216,,,,,,
11.890718,0.1260456,0.01381496,0.01527131,0.2912002,0,0.00877099,0.01255177,,,,,,
11.940679,0.1204661,0.01321143,0.01458746,0.2898307,0,0.01029111,0.01723154,,,,,,
11.99064,0.123403,0.01263426,0.01393425,0.3002356,0,0.009678262,0.01561391,,,,,,
12.040601,0.1188362,0.01208231,0.01331028,0.2868653,0,0.01092331,0.01741405,,,,,,
12.090562,0.1204134,0.01155447,0.01271426,0.2858111,0,0.01027281,0.02137493,,,,,,
12.140523,0.1209726,0.01104969,0.01214492,0.2826641,0,0.00966105,0.02093557,,,,,,
12.190484,0.1198694,0.01909851,0.01160108,0.2700763,0,0.009085722,0.01897023,,,,,,
12.240445,0.1179257,0.01826416,0.01108159,0.2696507,0,0.008544656,0.01718938,,,,,,
12.290406,0.118689,0.01746626,0.01058536,0.2730248,0,0.008035811,0.01557571,,,,,,
12.340367,0.1233678,0.01670321,0.01445199,0.276622,0,0.007557267,0.01411353,,,,,,
12.390328,0.1308876,0.0159735,0.01380484,0.2757227,0,0.008190298,0.01278861,,,,,,
12.440289,0.1250938,0.01527567,0.01782333,0.2634441,0,0.007702554,0.01158806,,,,,,
12.49025,0.1340133,0.01460832,0.01702521,0.2655661,0,0.007243857,0.01050022,,,,,,
12.540211,0.1280811,0.03095803,0.01626283,0.2700764,0,0.008714903,0.01354641,,,,,,
12.590172,0.1303802,0.02960557,0.01553459,0.2666959,0,0.008195919,0.01828565,,,,,,
12.640133,0.1300596,0.03652385,0.01847146,0.2679986,0,0.007707842,0.01656906,,,,,,
12.690094,0.1263935,0.03492824,0.01764432,0.2612245,0,0.00724883,0.01656844,,,,,,
12.740055,0.124239,0.03340233,0.01685422,0.2590985,0,0.006817153,0.01725221,,,,,,
12.790016,0.1215326,0.03194309,0.0160995,0.2577103,0,0.008235908,0.01563264,,,,,,
12.839977,0.1161529,0.03054759,0.01537857,0.2685772,0,0.007745449,0.01895064,,,,,,
12.889938,0.1124474,0.02921307,0.01468993,0.2680905,0,0.007284197,0.01717164,,,,,,
12.939899,0.1146038,0.02793684,0.01403213,0.2598247,0,0.006850414,0.01760861,,,,,,
12.98986,0.1095308,0.02671636,0.01340378,0.2543305,0,0.007188865,0.01595559,,,,,,
13.039821,0.1120767,0.02554921,0.01280356,0.2586761,0,0.007491729,0.01720002,,,,,,
13.089782,0.1071156,0.02443305,0.01223023,0.2492097,0,0.007045587,0.01558536,,,,,,
13.139743,0.1040046,0.02336564,0.01168257,0.2497465,0,0.0113263,0.01412227,,,,,,
13.189704,0.1050745,0.02987193,0.01115943,0.2630893,0,0.0106518,0.01279653,,,,,,
13.239665,0.1022795,0.02856692,0.01065972,0.2644559,0,0.01001748,0.01382928,,,,,,
13.289626,0.09775206,0.02731892,0.01018238,0.2574706,0,0.009420922,0.01589406,,,,,,
13.339587,0.09899266,0.02612544,0.009726421,0.2746327,0,0.008859894,0.01440199,,,,,,
13.389548,0.0946107,0.02498411,0.009290879,0.286693,0,0.008332276,0.01519917,,,,,,
13.439509,0.09042272,0.02389263,0.008874839,0.2843864,0,0.01315662,0.02222666,,,,,,
13.48947,0.09369722,0.02284884,0.008477429,0.2717219,0,0.01237313,0.02014011,,,,,,
13.539431,0.09337223,0.02185064,0.008097815,0.2782372,0,0.01163629,0.01824944,,,,,,
13.589392,0.09012029,0.02089605,0.01553738,0.272669,0,0.01094333,0.01653626,,,,,,
13.639353,0.09724632,0.01998317,0.0210794,0.2663209,0,0.01273183,0.0149839,,,,,,
13.689314,0.0975681,0.01911017,0.02013548,0.2560956,0,0.01197363,0.01357728,,,,,,
13.739275,0.09644363,0.01827531,0.01923383,0.2499225,0,0.01126059,0.01852671,,,,,,
