Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,,,Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,,Video2-3,C04,C07,,,,C10,C05,C06,C13,C01,C00,C09,C12,C03,C08,C11
3.946919,0.1663979,0.05608274,0.3425369,0.1636629,0.1012956,0.3799549,0.1168649,0.01759908,0.1623706,-0.01846848,-0.009306503,-0.04758094,-0.03822922,-0.01514632,-0.01734896,,,,,,,,,,,,,,,,,,,
3.99688,0.1667144,0.05997891,0.3313918,0.1636576,0.08221549,0.3672511,0.1187317,0.01144818,0.1810625,-0.009552098,-0.01393608,-0.04452022,-0.03098332,-0.01865906,-0.01393129,,,,,,,,,,,,,,,,,,,
4.046841,0.1737621,0.05503253,0.3504511,0.1553698,0.09841062,0.3830649,0.135863,0.01046095,0.1728725,-0.01032891,-0.01479143,-0.04548233,-0.03065987,-0.01019728,-0.01995725,,,,,,,,,,,,,,,,,,,
4.096802,0.1817558,0.04439967,0.3512334,0.1658998,0.1072119,0.396085,0.1368854,0.005576162,0.1885025,0.01676856,-0.01308209,-0.03550507,-0.02323435,-0.01389911,-0.01162294,,,,,,,,,,,,,,,,,,,
4.146763,0.1825065,0.04309741,0.3456048,0.1645482,0.1181763,0.3900591,0.1366775,0.006831073,0.1876515,0.0116317,-0.008023722,-0.04077368,-0.03216629,-0.01948644,-0.02077799,,,,,,,,,,,,,,,,,,,
4.196724,0.1903065,0.05140004,0.3386108,0.1608208,0.09791128,0.3913848,0.1404403,0.006949704,0.1837373,0.02525843,-0.0141131,-0.03436442,-0.02978403,-0.01354604,-0.01698794,,,,,,,,,,,,,,,,,,,
4.246685,0.1829559,0.04212974,0.3282435,0.1684079,0.08774044,0.391847,0.1396098,0.01769155,0.1882094,0.0203944,-0.01014918,-0.03737648,-0.03545349,-0.01073358,-0.01159234,,,,,,,,,,,,,,,,,,,
4.296646,0.1768403,0.04357181,0.3093788,0.1548424,0.08117209,0.384483,0.1363464,0.01914996,0.1787818,0.008809102,-0.01415113,-0.03215571,-0.0299207,-0.008445641,-0.01427217,,,,,,,,,,,,,,,,,,,
4.346607,0.1627187,0.04213298,0.2856038,0.1482838,0.06736596,0.3687218,0.1219016,0.0150242,0.1670734,-0.003557216,-0.01512049,-0.03576364,-0.02575447,-0.01296645,-0.01454994,,,,,,,,,,,,,,,,,,,
4.396568,0.1504088,0.03635996,0.2745214,0.1272154,0.05517197,0.3501505,0.1229057,0.01406488,0.1583567,0.000322915,-0.01339747,-0.03903338,-0.03308726,-0.01093294,-0.0168153,,,,,,,,,,,,,,,,,,,
4.446529,0.1394508,0.03803426,0.2685139,0.1184761,0.0481158,0.3436437,0.1186612,0.01462623,0.161814,-0.00617146,-0.01288977,-0.03474866,-0.03626098,-0.003036059,-0.01861275,,,,,,,,,,,,,,,,,,,
4.49649,0.1341485,0.03822335,0.2642598,0.1114249,0.04199826,0.336683,0.1192785,0.008005817,0.1420402,-0.01386363,-0.0203165,-0.03963923,-0.03745047,0.000254804,-0.01390931,,,,,,,,,,,,,,,,,,,
4.546451,0.1280831,0.04114012,0.2542631,0.08542303,0.03909115,0.3209285,0.1239869,-0.007497461,0.1403716,-0.01304655,-0.01564812,-0.0321044,-0.02359742,0.04192044,-0.01566484,,,,,,,,,,,,,,,,,,,
4.596412,0.1227875,0.03738727,0.2393155,0.09144183,0.02411996,0.3208626,0.117416,0.001938916,0.1328397,-0.02692271,-0.01798935,-0.04143075,-0.03219707,0.02645107,-0.01232101,,,,,,,,,,,,,,,,,,,
4.646373,0.1115464,0.03374957,0.2266254,0.08234799,0.03919566,0.3108188,0.1241501,-0.008274729,0.1331856,-0.01993084,-0.01864848,-0.03680126,-0.02535876,0.01486427,-0.0126712,,,,,,,,,,,,,,,,,,,
4.696334,0.1027899,0.03673755,0.2198862,0.07119213,0.03101872,0.2973047,0.1091087,-0.01668125,0.124606,-0.02594189,-0.01930235,-0.03491154,-0.02407428,0.01830754,-0.01090403,,,,,,,,,,,,,,,,,,,
4.746295,0.1019283,0.03458921,0.2117451,0.067378,0.01654819,0.2831181,0.1129308,-0.009600209,0.1158505,-0.03190467,-0.01483802,-0.03642005,-0.02744599,0.004091365,-0.0154725,,,,,,,,,,,,,,,,,,,
4.796256,0.09106645,0.03505575,0.1909681,0.05500981,0.0126788,0.2801093,0.1009731,-0.006977195,0.109862,-0.0177257,-0.01734255,-0.03324936,-0.03246288,0.009935327,-0.01450144,,,,,,,,,,,,,,,,,,,
4.846217,0.09048716,0.03112099,0.1771028,0.05469129,0.008597449,0.2653953,0.0848126,-0.01407191,0.1048579,-0.02313562,-0.0169401,-0.0369751,-0.02751443,-0.000922404,-0.01519357,,,,,,,,,,,,,,,,,,,
4.896178,0.08204953,0.02639797,0.1639012,0.04361346,-0.003385859,0.2580985,0.08108115,-0.01483399,0.1123399,-0.02495827,-0.02333389,-0.04140332,-0.02878324,-0.001539298,-0.01646999,,,,,,,,,,,,,,,,,,,
4.946139,0.06544324,0.0215032,0.1473891,0.04220612,0.002393789,0.2415317,0.07174963,-0.02300723,0.1001115,-0.03093722,-0.02631139,-0.04746467,-0.02251009,-0.006168273,-0.0131697,,,,,,,,,,,,,,,,,,,
4.9961,0.06281546,0.02263073,0.1431542,0.03843535,0.00417772,0.2411726,0.07496915,-0.01010674,0.09005041,-0.03023924,-0.02388469,-0.0474713,-0.03232948,4.37E-05,-0.01236813,,,,,,,,,,,,,,,,,,,
5.046061,0.06521359,0.02622232,0.1384606,0.03793775,-0.00672338,0.2230925,0.06533958,-0.01218545,0.09269802,-0.02620712,-0.02255766,-0.04468503,-0.02459125,0.002409838,-0.01190441,,,,,,,,,,,,,,,,,,,
5.096022,0.06552399,0.01870084,0.1310025,0.02621555,-0.01393057,0.2193689,0.06852932,-0.01839043,0.09118596,-0.03052311,-0.01879648,-0.04437462,-0.0364678,0.000253463,-0.0127123,,,,,,,,,,,,,,,,,,,
