 , C0, C1, C2, C3,,segment,starting frame ,time
Time(s)/Cell Status, accepted, accepted, accepted, accepted,,0,0,0
15.637793,0.000308753,0.01034513,0.01435185,0.01687049,,,,
15.687754,0.000295827,0.009895776,0.01369832,0.01607676,,,,
15.737715,0.000283442,0.009465943,0.01307456,0.01532038,,,,
15.787676,0.000271576,0.01169581,0.01247919,0.01459958,,,,
15.837637,0.000260206,0.01118779,0.01646348,0.01391269,,,,
15.887598,0.000249312,0.01070184,0.01890524,0.01325813,,,,
15.937559,0.000238875,0.010237,0.01804437,0.01263435,,,,
15.98752,0.000228874,0.009792341,0.01722271,0.01203993,,,,
16.037481,0.000219293,0.009367001,0.01643846,0.01147347,,,,
16.087442,0.000210112,0.008960136,0.01568992,0.01093366,,,,
16.137403,0.000201315,0.008570944,0.01497546,0.01041925,,,,
16.187364,0.000192887,0.008198656,0.01429354,0.009929043,,,,
16.237325,0.000184812,0.00784254,0.01835293,0.009461898,,,,
16.287286,0.000177075,0.007501892,0.01751721,0.009016732,,,,
16.337247,0.000169662,0.00717604,0.01671955,0.008592509,,,,
16.387208,0.000162559,0.006864341,0.01595821,0.008188246,,,,
16.437169,0.000155753,0.006566182,0.01523154,0.007803002,,,,
16.48713,0.000149233,0.009408377,0.01453795,0.007435884,,,,
16.537091,0.000142985,0.008999716,0.01387596,0.007086038,,,,
16.587052,0.000136999,0.008799251,0.0132441,0.006752652,,,,
16.637013,0.000131263,0.008417048,0.01264102,0.006434951,,,,
16.686974,0.000125768,0.008051445,0.0120654,0.006132197,,,,
16.736935,0.000120503,0.007701723,0.01151599,0.005843687,,,,
16.786896,0.000115458,0.0106091,0.0109916,0.005568751,,,,
16.836857,0.000110624,0.01014829,0.01049109,0.005306751,,,,
16.886818,0.000105993,0.009707485,0.01597332,0.005057077,,,,
16.936779,0.000101555,0.009285832,0.01524596,0.00481915,,,,
16.98674,9.73E-05,0.008882492,0.01455172,0.004592417,,,,
17.036701,9.32E-05,0.008496672,0.01388909,0.004376351,,,,
